CustomerID,Age,Gender,Location,DeviceType,TrafficSource,PagesViewed,TimeOnSite,ProductsViewed,CartItems,PreviousPurchases,AverageOrderValue,DiscountUsed,EmailClicked,AdClicked,ReviewScoreViewed,DaysSinceLastVisit,SessionCount,Purchase
23,36,Male,North,Mobile,Search,10,532.7,4,2,2,68.65,1,0,0,3.91,31,5,1
24,19,Male,North,Mobile,Social,11,192.3,4,0,1,96.68,0,1,1,2.99,13,6,1
25,29,Female,North,Tablet,Social,8,101.9,3,0,1,16.18,0,0,1,3.56,13,3,0
26,36,Other,West,Mobile,Social,12,139.3,10,0,0,69.41,0,0,0,4.29,8,4,1
27,22,Male,West,Mobile,Social,12,41.1,5,1,2,109.82,0,0,0,3.62,1,2,0
28,39,Female,Central,Desktop,Ad,8,233.9,1,1,3,13.71,0,0,0,4.53,18,2,0
29,28,Female,West,Mobile,Direct,12,111.1,2,0,3,62.96,0,0,0,5.0,24,4,0
30,32,Male,East,Mobile,Ad,8,131.7,4,1,1,4.36,0,0,0,3.89,21,4,0
31,28,Female,East,Mobile,Search,7,215.3,4,1,2,,1,0,0,3.83,25,4,1
32,55,Female,West,Mobile,Search,5,219.6,4,4,1,71.81,0,0,0,4.93,7,4,1
33,35,Female,East,Mobile,Search,8,262.8,7,1,1,28.58,0,0,0,4.57,39,5,1
34,23,Female,East,Desktop,Search,10,24.3,4,1,4,117.4,0,0,1,3.41,53,2,0
35,44,Female,West,Mobile,Social,11,108.0,5,0,1,47.9,0,0,0,3.6,25,6,0
36,22,Female,East,Mobile,Email,7,69.2,5,1,2,,1,1,1,4.01,24,2,0
37,37,Female,West,Desktop,Social,6,206.8,6,1,2,21.92,0,0,0,3.39,24,7,1
38,16,Male,East,Tablet,Ad,8,216.6,5,1,3,45.88,0,1,0,3.65,4,3,1
39,20,Male,West,Mobile,Ad,14,108.6,9,1,2,36.95,0,1,1,4.19,9,4,1
40,37,Female,West,Desktop,Search,8,285.2,7,5,3,40.69,1,0,0,4.78,2,2,1
41,43,Female,East,Desktop,Ad,13,159.6,4,1,2,8.33,0,1,0,3.98,10,2,1
42,37,Male,West,Mobile,Social,10,408.6,0,2,4,126.68,0,0,1,5.0,9,5,1
43,34,Female,East,Mobile,Social,15,27.7,4,1,1,87.03,1,0,0,3.73,1,5,1
44,32,Female,South,Mobile,Direct,10,151.5,2,0,1,56.74,1,0,0,4.03,16,3,1
45,19,Female,North,Desktop,Search,6,139.8,5,1,1,25.63,1,1,1,3.77,2,2,0
46,27,Male,East,Mobile,Ad,7,76.6,6,0,0,78.19,0,0,0,3.28,14,6,0
47,30,Male,East,Mobile,Email,6,233.6,3,0,3,97.48,0,0,1,3.95,8,3,1
48,47,Male,Central,Desktop,Ad,5,280.7,8,0,0,49.4,1,1,0,4.4,23,3,1
49,39,Male,South,Mobile,Ad,11,20.8,4,0,0,97.33,0,1,0,4.11,49,7,1
50,16,Male,South,Desktop,Social,7,290.6,7,3,0,42.67,0,0,0,4.76,9,4,1
51,39,Female,North,Desktop,Search,13,432.4,3,3,1,25.07,0,0,0,4.26,9,6,1
52,31,Male,North,Mobile,Search,5,189.2,3,1,1,53.88,0,0,1,4.33,3,3,1
53,28,Female,West,Tablet,Social,7,62.1,4,1,2,65.71,0,1,0,4.24,1,4,1
54,42,Male,South,Mobile,Search,9,268.2,4,1,1,15.23,1,0,0,3.79,6,4,1
55,46,Male,East,Mobile,Direct,13,61.2,6,4,0,36.91,0,1,0,3.48,9,2,1
56,45,Male,West,Mobile,Search,10,337.1,3,4,2,42.3,0,0,0,3.59,22,6,1
57,26,Female,East,Desktop,Ad,6,46.8,6,2,4,24.2,1,0,0,4.51,0,4,1
58,32,Female,Central,Desktop,Direct,7,330.5,4,2,1,21.78,1,0,0,4.67,14,4,1
59,39,Male,East,Mobile,Search,9,39.8,4,4,3,99.84,1,1,1,3.96,8,4,0
60,46,Male,South,Mobile,Social,8,126.4,5,3,1,60.04,0,0,0,4.07,3,3,1
61,30,Male,Central,Mobile,Social,6,247.7,7,0,4,19.06,1,0,1,2.6,11,3,1
62,33,Female,Central,Desktop,Social,10,286.4,8,1,0,47.33,0,1,1,4.09,33,6,1
63,23,Male,North,Desktop,Social,9,276.3,3,1,1,,0,1,1,3.92,3,2,1
64,22,Male,North,Desktop,Search,12,454.0,5,1,0,9.88,0,1,0,4.36,30,8,1
65,44,Male,North,Desktop,Email,7,267.4,4,2,2,9.69,0,0,0,4.86,2,3,1
66,50,Male,South,Desktop,Social,13,60.9,4,0,1,42.23,1,0,1,4.08,38,6,0
67,34,Male,Central,Mobile,Direct,9,66.6,5,0,1,20.26,1,0,0,3.54,48,5,1
68,46,Male,East,Mobile,Direct,9,184.5,6,0,0,62.18,0,1,0,2.09,17,4,1
69,39,Male,South,Desktop,Search,6,102.5,7,1,2,29.96,0,0,0,4.42,1,4,0
70,28,Other,Central,Mobile,Search,12,264.0,8,1,0,49.35,0,0,0,3.03,9,3,1
71,39,Female,East,Mobile,Direct,9,150.1,5,5,0,26.74,0,1,1,4.31,9,5,0
72,52,Female,South,Tablet,Ad,5,241.1,9,0,2,57.77,0,0,0,4.42,4,6,1
73,35,Male,Central,Desktop,Social,8,103.6,6,3,2,51.41,0,0,0,3.52,29,6,0
74,52,Male,Central,Mobile,Search,8,298.1,5,3,1,64.64,1,0,0,4.07,1,7,0
75,16,Male,Central,Desktop,Search,6,143.8,5,1,0,58.07,0,1,0,3.75,5,4,1
76,44,Male,East,Tablet,Search,7,238.0,3,2,3,33.45,1,1,0,3.51,1,2,1
77,36,Female,West,Mobile,Social,10,194.1,8,0,1,106.59,1,0,0,3.44,3,3,1
78,32,Male,North,Mobile,Social,9,165.3,5,1,2,,1,0,1,2.69,4,5,1
79,36,Male,East,Mobile,Email,7,85.5,5,2,1,20.44,1,1,1,4.06,33,8,0
80,16,Female,Central,Mobile,Search,9,61.4,2,1,1,100.09,0,1,0,3.99,0,2,1
81,33,Female,South,Desktop,Search,10,434.3,6,1,2,67.26,0,1,0,3.85,10,6,1
82,39,Male,West,Mobile,Social,6,208.3,1,2,3,93.35,0,0,0,3.21,5,7,1
83,51,Female,East,Mobile,Ad,10,103.6,3,0,2,38.95,0,0,0,4.23,36,6,1
84,29,Male,North,Mobile,Social,16,85.5,5,0,2,32.11,1,0,1,3.67,0,3,0
85,26,Female,West,Mobile,Ad,7,112.6,4,1,2,62.95,1,0,0,3.72,3,5,1
86,29,Male,North,Mobile,Social,8,155.7,8,1,0,89.43,1,0,1,4.92,24,6,1
87,45,Male,West,Desktop,Search,8,263.9,6,1,1,22.51,1,0,0,3.9,11,5,1
88,39,Male,North,Mobile,Search,12,38.7,7,2,0,120.91,1,0,0,4.23,6,3,1
89,29,Female,Central,Desktop,Email,8,48.6,2,0,1,42.55,0,0,1,4.02,19,5,0
90,41,Male,South,Desktop,Social,10,113.9,5,2,1,25.72,1,1,0,4.07,34,5,0
91,36,Female,South,Mobile,Email,7,148.0,3,0,0,90.2,1,0,0,4.54,6,6,1
92,46,Female,North,Desktop,Direct,13,165.9,4,0,2,11.2,1,1,1,4.25,7,6,0
93,27,Other,Central,Desktop,Direct,15,357.0,3,2,0,113.66,0,0,0,4.28,18,5,1
94,31,Male,West,Mobile,Search,10,114.5,5,2,0,41.67,0,0,1,5.0,14,4,1
95,31,Male,West,Mobile,Direct,7,14.1,6,0,0,46.16,0,0,0,4.13,18,4,0
96,19,Female,East,Desktop,Social,8,133.6,9,1,0,43.43,0,1,0,3.48,15,5,0
97,38,Female,East,Tablet,Social,7,322.6,6,0,2,13.7,0,0,0,4.17,2,4,0
98,38,Female,North,Mobile,Social,8,223.2,5,2,1,14.61,1,1,1,3.88,2,3,1
99,35,Male,East,Mobile,Email,10,80.4,6,4,1,14.3,1,0,0,3.94,16,6,1
100,32,Male,South,Mobile,Search,7,15.8,3,0,3,9.51,1,0,1,3.36,2,1,0
101,19,Male,Central,Mobile,Social,7,296.7,6,3,0,57.58,1,1,0,4.48,1,3,1
102,30,Male,West,Desktop,Social,6,364.1,3,1,0,9.03,1,1,0,3.91,6,3,1
103,31,Female,South,Mobile,Social,6,45.5,7,0,2,43.34,0,0,0,3.27,36,3,0
104,26,Female,North,Mobile,Search,7,205.3,10,1,0,20.51,0,0,1,4.15,19,2,0
105,33,Female,West,Mobile,Search,13,265.1,6,2,1,58.62,0,0,0,4.74,6,4,1
106,39,Female,North,Mobile,Search,5,12.4,3,1,1,70.07,1,0,1,4.18,6,5,0
107,56,Female,North,Mobile,Social,10,240.7,4,2,0,110.39,1,0,0,3.9,3,5,1
108,37,Male,North,Mobile,Ad,7,235.6,5,0,1,28.49,0,1,0,3.48,9,7,1
109,38,Female,East,Mobile,Search,6,352.9,6,2,0,73.38,0,0,1,3.96,17,6,1
110,34,Male,West,Desktop,Social,12,111.3,4,1,3,40.48,1,0,0,3.12,41,2,0
111,16,Female,South,Tablet,Social,7,62.0,3,1,1,48.99,0,1,0,5.0,2,2,0
112,35,Other,North,Mobile,Direct,2,234.4,7,3,0,12.63,0,1,0,3.8,2,2,0
113,36,Male,East,Mobile,Search,10,282.5,4,2,3,29.29,0,0,0,4.28,3,2,1
114,62,Male,West,Mobile,Search,9,122.1,3,0,1,26.68,0,0,0,4.47,13,1,0
115,33,Female,South,Mobile,Search,10,251.2,3,0,2,51.32,0,1,1,4.38,16,3,1
116,38,Male,North,Mobile,Ad,10,211.7,7,0,0,21.19,0,1,0,5.0,0,4,1
117,35,Male,Central,Mobile,Email,11,304.8,5,0,0,52.33,1,0,1,3.35,60,6,1
118,22,Female,Central,Desktop,Search,8,84.6,4,3,1,,1,0,0,3.59,24,5,0
119,48,Female,Central,Mobile,Search,8,177.5,6,1,1,140.1,0,0,0,5.0,4,6,1
120,43,Female,West,Mobile,Search,10,206.4,3,1,2,37.53,0,1,0,4.44,15,4,1
121,44,Male,North,Desktop,Search,8,150.0,5,0,1,11.8,0,0,0,3.65,14,3,1
122,25,Male,North,Desktop,Direct,11,230.2,4,1,1,17.17,1,0,0,2.61,16,2,1
123,50,Male,South,Mobile,Social,12,276.3,9,0,1,61.87,0,0,0,3.73,37,4,1
124,20,Female,South,Mobile,Email,9,331.8,10,1,2,,0,0,1,4.18,1,4,1
125,41,Female,Central,Mobile,Social,10,144.3,7,1,2,52.9,1,1,0,3.82,20,3,1
126,59,Male,West,Mobile,Email,10,175.2,3,0,2,86.68,0,1,0,4.11,69,3,0
127,24,Female,West,Mobile,Search,7,106.8,6,0,0,105.43,0,0,0,3.55,34,2,0
128,29,Male,North,Mobile,Social,10,137.8,6,0,0,30.29,0,0,1,3.33,8,1,0
129,36,Male,Central,Mobile,Email,11,672.8,1,0,1,27.36,0,0,0,4.01,15,6,1
130,29,Female,Central,Desktop,Search,10,71.0,6,2,3,194.07,0,1,0,4.42,5,2,1
131,18,Male,North,Desktop,Email,13,315.0,8,2,2,99.79,1,0,0,4.3,18,3,1
132,36,Female,Central,Mobile,Ad,16,164.1,4,1,2,7.6,0,1,1,3.64,11,2,1
133,23,Male,South,Mobile,Search,12,129.1,7,1,0,4.4,0,0,0,4.74,29,3,0
134,40,Female,North,Mobile,Ad,9,136.6,4,0,2,25.52,0,1,1,4.22,21,2,0
135,25,Male,West,Mobile,Search,6,13.9,2,2,0,44.93,1,0,0,3.12,0,3,0
136,52,Female,West,Mobile,Social,8,134.5,2,0,3,36.41,0,0,0,2.81,54,1,0
137,26,Female,North,Desktop,Email,7,66.3,4,3,1,45.49,0,1,0,3.62,7,3,1
138,31,Male,South,Desktop,Email,9,90.9,4,2,2,35.81,1,1,1,3.42,3,4,1
139,44,Female,Central,Desktop,Search,9,237.0,5,2,1,35.73,1,0,1,3.15,34,2,1
140,21,Male,West,Desktop,Direct,10,198.0,6,2,1,94.25,1,0,0,3.4,15,7,1
141,38,Female,West,Tablet,Ad,9,289.5,7,1,2,80.35,0,1,0,3.78,18,6,1
142,49,Male,North,Desktop,Search,9,172.6,3,0,2,25.33,1,1,1,2.8,2,3,1
143,17,Female,North,Tablet,Ad,6,199.4,6,1,4,25.42,1,0,0,3.48,22,3,1
144,37,Male,South,Mobile,Email,8,174.4,9,1,3,117.69,1,0,1,4.06,21,5,1
145,38,Female,South,Mobile,Ad,9,137.9,3,3,2,50.43,0,0,0,3.88,58,4,0
146,44,Female,South,Desktop,Search,11,329.5,4,0,3,39.0,0,0,0,3.89,17,5,1
147,21,Female,North,Tablet,Direct,12,324.9,8,0,0,171.58,1,0,0,4.17,2,4,1
148,20,Male,East,Mobile,Search,4,292.1,5,2,4,85.99,1,0,0,4.07,7,3,1
149,41,Female,South,Mobile,Ad,8,145.8,5,2,3,31.35,0,0,0,3.92,1,6,1
150,38,Male,Central,Mobile,Email,17,150.5,1,2,2,40.41,0,0,0,4.78,12,2,1
151,38,Male,North,Desktop,Social,8,284.2,5,2,1,92.9,0,1,1,4.06,4,7,1
152,39,Female,East,Mobile,Search,9,257.3,4,2,1,50.56,1,0,0,3.65,1,6,1
153,28,Male,North,Desktop,Direct,17,56.6,11,1,0,80.17,1,0,0,3.85,10,5,0
154,38,Female,East,Tablet,Email,9,378.0,7,2,1,60.01,0,0,0,3.61,8,4,0
155,38,Female,North,Desktop,Social,10,210.7,4,0,3,28.34,1,0,0,4.23,2,5,1
156,27,Male,Central,Mobile,Social,9,92.3,4,1,0,64.41,0,0,1,3.67,34,4,1
157,56,Male,West,Mobile,Direct,11,109.2,1,2,0,34.42,1,0,0,4.21,8,4,0
158,40,Male,East,Mobile,Social,10,309.1,11,3,2,32.15,0,1,1,4.0,17,4,1
159,22,Female,North,Mobile,Search,13,228.8,1,1,2,61.9,0,0,0,4.21,0,5,0
160,42,Female,East,Mobile,Ad,8,427.4,8,0,3,22.24,0,0,1,4.33,2,3,1
161,24,Female,West,Desktop,Social,11,421.9,0,1,1,13.95,0,0,0,3.05,22,2,0
162,44,Male,North,Mobile,Social,10,377.8,4,0,3,36.46,1,0,0,3.2,4,3,1
163,48,Male,East,Desktop,Search,8,166.1,7,0,0,28.59,0,0,1,4.12,16,7,1
164,26,Male,West,Tablet,Ad,8,304.2,8,3,1,19.88,0,0,0,4.07,29,3,1
165,46,Female,West,Mobile,Search,9,578.7,5,3,0,24.11,1,0,0,3.74,29,2,1
166,40,Female,West,Tablet,Email,3,119.4,5,0,2,30.18,1,0,0,3.56,18,5,0
167,44,Female,Central,Desktop,Ad,10,205.8,4,2,0,30.4,0,0,0,4.72,20,11,0
168,56,Female,Central,Mobile,Search,7,52.5,4,0,7,0.24,1,1,0,3.12,1,9,1
169,32,Female,South,Mobile,Direct,7,224.0,1,0,1,63.5,0,0,0,3.76,22,2,0
170,27,Male,East,Mobile,Social,12,13.2,7,1,5,19.02,0,1,0,5.0,2,3,0
171,25,Male,West,Mobile,Email,6,28.8,8,0,0,63.94,0,0,1,3.98,19,2,0
172,26,Male,West,Desktop,Social,9,412.4,4,3,3,51.08,0,0,1,4.0,13,2,1
173,34,Female,Central,Mobile,Email,7,46.6,3,1,1,113.91,0,1,0,4.07,2,2,1
174,39,Female,North,Desktop,Search,13,268.1,3,1,1,19.65,0,1,0,2.35,10,4,1
175,38,Male,South,Mobile,Search,8,181.8,3,1,1,23.92,1,1,1,4.06,21,4,1
176,44,Female,South,Mobile,Ad,6,156.4,4,1,2,46.09,1,0,1,3.43,8,5,0
177,35,Male,South,Desktop,Search,9,151.0,5,0,0,112.3,1,0,0,3.56,39,3,0
178,51,Male,South,Desktop,Direct,9,115.4,8,2,2,30.48,0,0,1,3.16,16,6,1
179,32,Female,West,Mobile,Search,7,208.1,8,1,4,16.58,1,0,1,,2,3,1
180,65,Male,North,Mobile,Social,13,101.6,5,1,0,76.27,0,1,0,5.0,3,3,0
181,42,Female,West,Desktop,Direct,6,101.9,7,0,3,9.76,0,1,0,4.59,5,5,1
182,26,Male,West,Desktop,Search,9,149.9,2,1,3,77.0,0,0,0,4.93,29,4,1
183,23,Male,South,Mobile,Ad,10,81.9,2,1,2,95.72,0,1,1,4.01,24,6,1
184,40,Female,South,Mobile,Social,8,11.3,6,2,3,64.93,1,1,0,3.48,16,5,1
185,33,Female,West,Mobile,Social,11,268.3,8,2,1,104.84,1,0,1,2.67,20,4,1
186,43,Male,West,Mobile,Email,8,361.0,4,2,2,52.94,0,0,0,3.15,26,4,1
187,40,Male,Central,Desktop,Social,13,235.0,4,0,1,46.22,0,1,0,4.52,19,4,1
188,34,Female,Central,Desktop,Social,6,50.7,1,1,1,52.52,0,0,0,3.4,9,2,0
189,26,Male,Central,Desktop,Direct,11,4.7,5,2,1,26.83,0,0,1,3.52,6,6,0
190,18,Female,East,Mobile,Social,5,84.0,5,1,2,51.71,0,1,0,3.67,31,5,0
191,30,Female,Central,Desktop,Search,11,160.7,5,2,3,97.99,0,1,0,4.02,13,3,1
192,44,Female,West,Mobile,Direct,7,27.0,5,1,1,24.75,0,0,0,3.72,7,1,0
193,37,Female,Central,Tablet,Direct,11,293.7,5,0,1,88.93,1,1,0,3.41,8,2,1
194,21,Female,North,Mobile,Social,7,53.1,6,1,0,36.15,0,0,0,3.18,8,3,0
195,37,Other,Central,Mobile,Social,8,259.1,2,2,3,36.97,1,0,1,3.84,5,3,1
196,39,Female,East,Desktop,Email,8,88.5,5,2,1,69.34,0,0,1,4.13,4,2,0
197,25,Female,West,Mobile,Social,9,138.6,3,1,2,122.04,0,0,0,3.41,12,4,0
198,37,Female,North,Desktop,Social,9,209.8,5,1,3,54.83,1,0,1,3.42,0,5,1
199,36,Male,South,Desktop,Ad,8,90.5,6,2,3,71.23,0,0,0,4.57,1,8,0
200,22,Male,South,Mobile,Search,12,165.1,5,0,1,59.05,0,1,1,3.59,30,5,1
201,39,Female,South,Desktop,Email,8,432.5,5,4,2,39.29,0,0,0,4.03,4,3,1
202,41,Female,North,Mobile,Ad,11,130.6,4,2,3,,0,0,1,3.84,1,6,1
203,47,Female,West,Mobile,Email,10,136.5,4,0,4,46.59,0,1,0,3.13,71,3,0
204,47,Female,North,Tablet,Ad,16,130.2,3,1,0,23.52,0,1,1,3.66,3,5,1
205,20,Female,South,Desktop,Social,13,177.2,7,3,3,34.55,1,0,0,3.82,10,5,1
206,25,Female,North,Mobile,Search,6,233.9,4,0,3,53.13,1,1,0,3.16,28,2,1
207,41,Female,East,Mobile,Ad,8,292.7,3,2,2,48.14,1,0,1,3.88,19,5,1
208,41,Male,South,Mobile,Social,8,227.8,7,1,5,13.72,0,1,1,4.43,6,4,0
209,41,Female,South,Desktop,Direct,8,106.6,3,2,2,19.66,1,0,0,4.32,2,7,1
210,75,Male,East,Tablet,Search,8,134.3,4,0,1,32.61,0,0,1,3.07,14,3,1
211,41,Male,West,Mobile,Direct,7,83.2,9,0,0,94.33,0,0,1,3.99,9,5,0
212,47,Male,North,Desktop,Social,9,74.1,7,0,4,32.61,0,1,1,3.67,1,5,1
213,45,Female,North,Mobile,Search,8,40.3,2,0,3,80.82,0,0,0,3.47,9,3,1
214,42,Female,South,Mobile,Social,11,113.1,9,0,1,90.26,0,1,0,4.34,2,5,1
215,32,Female,Central,Tablet,Email,11,116.6,5,1,0,15.3,0,0,1,4.02,13,2,0
216,43,Male,South,Mobile,Search,7,177.4,8,0,4,12.11,0,0,0,3.81,77,1,0
217,26,Female,East,Mobile,Email,8,225.9,3,2,1,80.6,1,0,0,3.2,1,3,0
218,32,Male,South,Desktop,Social,13,177.5,4,0,1,27.2,1,1,1,3.81,17,1,1
219,30,Male,East,Mobile,Search,7,98.5,5,1,0,138.14,0,1,1,3.84,49,7,0
220,36,Female,North,Mobile,Direct,9,318.5,6,2,2,32.68,1,1,0,3.37,6,2,1
221,60,Male,North,Tablet,Social,9,10.9,4,1,1,,0,0,0,4.34,14,2,0
222,16,Female,East,Desktop,Search,5,96.0,5,2,2,47.29,1,1,0,,59,3,0
223,43,Female,South,Desktop,Social,11,273.4,6,1,1,,0,0,1,4.89,14,3,1
224,17,Female,North,Mobile,Email,12,89.8,9,1,1,43.42,0,0,0,4.01,28,2,0
225,30,Female,West,Mobile,Ad,5,103.6,1,2,3,87.19,0,0,0,4.1,64,5,1
226,47,Male,Central,Tablet,Search,6,35.8,7,3,1,40.31,0,0,1,4.91,37,6,0
227,36,Female,South,Mobile,Social,2,342.2,6,1,4,121.44,0,0,0,4.81,34,3,1
228,23,Female,West,Mobile,Search,10,137.0,3,0,4,64.49,0,0,0,3.57,20,5,0
229,27,Male,Central,Mobile,Direct,11,158.2,6,0,4,25.1,0,0,0,4.17,9,6,1
230,42,Male,Central,Mobile,Social,14,161.8,5,1,0,68.66,0,1,0,4.14,11,3,1
231,27,Female,East,Mobile,Direct,9,117.6,6,4,0,37.32,0,1,0,4.19,2,6,1
232,37,Male,West,Desktop,Social,7,233.9,2,0,6,48.0,0,1,0,4.17,5,3,0
233,36,Male,North,Tablet,Direct,12,213.9,6,0,1,125.98,0,0,0,4.05,5,1,0
234,28,Female,East,Desktop,Social,8,164.6,6,0,1,30.7,0,0,0,4.04,9,2,0
235,59,Female,South,Desktop,Ad,11,64.6,1,1,2,45.97,1,0,0,4.9,19,8,1
236,42,Female,North,Desktop,Search,8,56.6,8,2,1,40.64,0,0,0,3.32,3,1,1
237,16,Male,East,Desktop,Social,6,202.1,3,1,4,78.11,0,0,0,3.58,14,4,1
238,37,Male,North,Mobile,Direct,5,52.1,5,1,0,49.65,0,1,0,3.93,37,6,0
239,28,Male,West,Mobile,Email,7,158.4,2,3,0,48.71,1,0,0,4.53,6,5,1
240,44,Male,East,Mobile,Search,10,128.5,4,0,1,22.51,0,0,1,4.03,7,3,1
241,26,Female,East,Mobile,Ad,10,168.7,11,1,3,18.15,0,0,0,4.33,2,2,1
242,34,Female,North,Mobile,Search,7,80.6,6,1,1,37.29,0,0,1,4.4,16,4,0
243,41,Female,North,Mobile,Search,8,350.5,2,0,1,52.28,0,0,0,4.01,12,4,1
244,45,Male,East,Mobile,Social,8,504.4,4,1,1,42.85,1,0,0,3.16,21,6,1
245,22,Male,Central,Mobile,Social,9,54.4,4,2,0,35.6,0,0,0,3.06,51,2,0
246,31,Female,North,Mobile,Direct,5,44.3,4,0,0,62.08,0,0,0,3.48,20,5,0
247,30,Male,South,Mobile,Social,8,41.1,3,0,0,36.28,0,0,1,3.79,3,4,0
248,28,Female,Central,Desktop,Social,13,50.9,3,1,0,46.7,0,0,0,4.53,22,4,1
249,54,Female,North,Mobile,Social,10,46.2,2,3,1,107.68,0,0,1,4.11,27,3,0
250,39,Female,Central,Desktop,Social,8,350.9,5,1,1,37.41,0,0,0,3.62,22,5,1
251,21,Female,East,Tablet,Ad,3,111.8,7,1,0,2.98,0,0,0,3.96,48,5,1
252,45,Female,South,Desktop,Ad,8,37.0,5,1,0,80.56,0,0,1,3.17,3,3,0
253,58,Female,South,Desktop,Social,10,66.9,4,2,1,16.27,1,0,1,4.44,6,3,0
254,46,Female,South,Tablet,Search,11,252.4,5,2,4,84.77,0,0,1,4.11,6,1,1
255,18,Female,South,Mobile,Ad,9,130.9,6,1,2,17.72,1,0,0,3.53,16,3,1
256,30,Male,Central,Tablet,Search,6,167.0,5,0,1,116.16,0,0,0,3.92,22,3,0
257,49,Female,West,Desktop,Search,6,162.0,8,0,4,40.07,0,1,0,3.16,6,2,1
258,27,Other,West,Desktop,Search,12,25.0,6,4,1,5.52,0,0,0,4.61,60,4,0
259,40,Female,West,Mobile,Search,13,78.4,3,4,1,90.92,0,0,0,3.37,27,3,0
260,44,Female,South,Mobile,Direct,10,106.0,3,1,3,107.43,1,0,0,3.62,8,3,0
261,25,Female,East,Desktop,Email,12,53.4,1,2,1,9.48,0,0,0,4.91,2,5,0
262,34,Female,East,Desktop,Ad,12,353.7,5,1,1,72.21,1,0,1,3.01,8,3,1
263,16,Male,West,Desktop,Search,10,104.9,2,1,1,95.13,0,1,0,3.9,20,4,1
264,24,Female,South,Mobile,Social,10,61.3,7,2,0,102.45,1,0,0,3.86,5,4,1
265,32,Male,West,Mobile,Ad,6,533.2,8,1,1,11.49,0,0,1,4.42,7,1,1
266,21,Male,Central,Mobile,Direct,6,115.8,6,3,1,66.01,0,0,1,3.71,2,7,1
267,53,Male,South,Mobile,Direct,11,46.9,2,3,3,45.85,1,1,0,3.3,29,3,0
268,19,Male,North,Mobile,Search,16,9.7,5,2,2,40.65,1,1,1,4.27,29,4,0
269,30,Male,East,Mobile,Direct,8,217.6,3,3,0,88.6,0,0,0,4.27,4,2,1
270,36,Female,South,Mobile,Social,12,130.1,5,2,2,40.08,1,0,0,4.42,11,5,1
271,51,Male,West,Mobile,Social,8,319.8,6,1,1,117.74,0,0,1,3.42,1,6,1
272,19,Female,Central,Mobile,Email,6,154.8,8,1,1,101.04,1,1,0,3.88,35,3,0
273,48,Female,East,Tablet,Email,9,556.2,1,1,4,104.43,1,1,0,4.06,31,5,1
274,35,Female,East,Desktop,Direct,15,192.8,5,1,4,24.23,0,0,0,3.31,20,2,1
275,24,Male,West,Desktop,Email,12,184.8,6,0,3,107.9,0,1,0,4.36,65,4,0
276,40,Male,North,Mobile,Search,12,29.0,7,1,1,11.98,0,0,0,2.93,27,6,0
277,37,Female,South,Desktop,Social,12,85.3,8,1,2,17.66,0,0,0,4.05,5,3,0
278,28,Male,Central,Mobile,Email,14,543.3,8,0,1,25.29,1,0,0,3.66,8,4,1
