customer_id,total_revenue,total_purchases,avg_rating,total_pages_viewed,total_time_on_site,total_cart_abandoned,total_sessions,cluster
1106,0.0,0,4.0,24,1937,1,2,0
1107,0.0,0,4.0,37,2058,3,3,0
1108,0.0,0,4.0,84,5153,3,6,2
1109,0.0,0,4.0,24,2230,3,3,0
1110,2098.22,1,3.75,22,4359,2,4,2
1111,1839.86,1,4.5,38,2020,0,2,1
1112,2540.56,1,4.2,39,5007,2,5,2
1113,0.0,0,4.0,23,1355,2,2,0
1114,0.0,0,4.0,26,2831,0,2,0
1115,1763.68,1,4.5,26,2174,1,2,1
1116,0.0,0,4.0,36,3865,2,4,0
1118,4522.5,1,5.0,14,500,0,1,1
1119,0.0,0,4.0,20,1639,1,1,0
1120,0.0,0,4.0,34,718,1,3,0
1121,1894.59,1,4.0,43,2848,1,2,1
1122,0.0,0,4.0,21,863,1,1,0
1123,0.0,0,4.0,47,2330,1,3,0
1124,1684.02,2,4.5,38,3588,2,4,2
1125,0.0,0,4.0,53,3519,1,4,0
1126,2051.36,2,4.25,67,2531,1,4,2
1127,0.0,0,4.0,53,2896,1,4,0
1128,0.0,0,4.0,3,618,0,1,0
1129,0.0,0,4.0,73,3925,1,4,2
1130,1026.78,1,3.5,22,1857,1,2,1
1131,1150.86,1,4.0,37,1478,0,2,1
1132,3476.2200000000003,2,3.6666666666666665,25,2703,1,3,1
1134,7061.16,3,4.0,93,6909,2,8,2
1135,0.0,0,4.0,29,1670,1,3,0
1136,0.0,0,4.0,32,2502,1,2,0
1138,924.05,1,4.166666666666667,71,5962,4,6,2
1139,0.0,0,4.0,31,860,2,2,0
1140,0.0,0,4.0,6,1580,0,1,0
1141,0.0,0,4.0,25,1932,1,2,0
1142,0.0,0,4.0,57,2896,3,4,2
1143,0.0,0,4.0,106,5407,3,6,2
1144,0.0,0,4.0,42,2245,1,2,0
1145,997.25,1,4.5,21,1234,0,2,1
1146,2950.09,1,4.25,53,3436,2,4,2
1147,0.0,0,4.0,41,2916,1,3,0
1148,843.58,1,4.25,32,3712,1,4,2
1149,0.0,0,4.0,33,2879,1,2,0
1150,2340.49,1,4.0,54,552,1,3,1
1151,673.69,1,3.8,71,5825,0,5,2
1152,772.78,1,3.0,2,1482,0,1,1
1153,1069.29,1,3.0,1,1351,0,1,1
1155,4908.51,2,4.4,73,4029,0,5,1
1156,0.0,0,4.0,35,1973,0,2,0
1157,0.0,0,4.0,15,1236,0,1,0
1158,2864.37,1,4.333333333333333,58,2845,1,3,1
1159,5605.16,1,4.0,43,1808,2,4,1
1160,2058.0,1,3.6666666666666665,90,4672,3,6,2
1161,0.0,0,4.0,18,2410,2,2,0
1162,1483.14,1,3.0,12,487,0,1,1
1163,403.7,1,4.2,62,3992,4,5,2
1164,1126.58,1,3.6666666666666665,49,2344,2,3,2
1165,1357.8700000000001,2,3.2,69,5765,2,5,2
1166,0.0,0,4.0,21,440,1,1,0
1167,3059.2,2,3.6666666666666665,39,1846,0,3,1
1168,0.0,0,4.0,22,1796,2,2,0
1169,947.29,2,4.5,62,4684,1,4,2
1171,0.0,0,4.0,9,915,1,1,0
1172,332.26,1,4.25,48,2024,1,4,0
1174,1507.02,1,4.333333333333333,51,3057,2,3,2
1175,2666.8900000000003,2,4.333333333333333,47,2434,0,3,1
1176,0.0,0,4.0,10,1871,2,2,0
1177,756.39,1,3.3333333333333335,36,3621,1,3,1
1179,0.0,0,4.0,18,2019,0,2,0
1181,0.0,0,4.0,44,3176,1,4,0
1182,0.0,0,4.0,29,1639,1,3,0
1183,5294.04,1,4.0,79,4021,2,4,2
1184,3314.81,2,4.333333333333333,48,1559,1,3,1
1185,0.0,0,4.0,51,5573,2,5,2
1186,0.0,0,4.0,42,1767,2,3,0
1187,9145.76,2,3.6666666666666665,33,3401,0,3,1
1188,1550.69,3,4.25,63,3006,0,4,1
1189,0.0,0,4.0,32,3339,1,3,0
1190,1456.45,2,4.25,33,4014,1,4,1
1191,0.0,0,4.0,25,2078,1,2,0
1192,0.0,0,4.0,21,1482,1,1,0
1193,1818.94,1,4.333333333333333,17,4601,1,3,1
1194,0.0,0,4.0,7,2433,0,2,0
1195,1219.67,1,4.0,40,2797,1,3,1
1196,5634.82,2,3.6,41,5548,3,5,2
1197,4518.88,1,3.75,64,4600,2,4,2
1198,973.3,1,4.5,9,1957,0,2,1
1199,0.0,0,4.0,13,257,0,1,0
1200,1897.32,1,4.25,51,3630,3,4,2
1201,0.0,0,4.0,40,2482,2,3,0
1202,1248.59,1,3.0,30,1030,0,2,1
1203,3619.66,2,4.0,87,3073,1,6,2
1204,969.32,1,3.8,63,6406,2,5,2
1205,0.0,0,4.0,47,761,1,2,0
1206,3324.51,1,3.5,34,2236,1,2,1
1207,0.0,0,4.0,23,1574,0,1,0
1208,1136.65,1,3.25,39,4099,2,4,2
1209,816.6,1,4.142857142857143,78,5513,3,7,2
1210,0.0,0,4.0,32,3566,1,3,0
1211,0.0,0,4.0,14,694,1,1,0
1212,2666.46,3,4.0,84,6375,3,6,2
1213,744.78,1,3.8333333333333335,78,5994,2,6,2
1214,3055.83,1,4.0,10,2189,1,2,1
1215,1328.42,1,3.75,44,2870,0,4,1
1216,0.0,0,4.0,19,1714,1,2,0
1217,0.0,0,4.0,8,757,0,1,0
1218,3526.43,2,3.75,61,5590,1,4,2
1219,0.0,0,4.0,49,3257,1,4,0
1220,1765.86,1,4.333333333333333,32,798,2,3,0
1221,0.0,0,4.0,7,1726,0,2,0
1222,898.63,1,4.166666666666667,82,6740,4,6,2
1223,522.78,1,2.5,25,1669,0,2,1
1224,0.0,0,4.0,18,2053,0,2,0
1225,268.76,1,3.75,57,3198,2,4,2
1226,1203.09,1,3.3333333333333335,29,3717,0,3,1
1227,4039.92,1,4.0,27,726,0,2,1
1228,829.75,1,4.5,14,1027,1,2,0
1229,651.56,1,4.0,83,4757,3,5,2
1230,0.0,0,4.0,54,2992,2,4,0
1231,741.57,1,3.5,62,3576,1,4,2
1232,0.0,0,4.0,21,2264,0,2,0
1233,0.0,0,4.0,28,2191,1,2,0
1234,377.35,1,4.333333333333333,31,3246,0,3,1
1235,0.0,0,4.0,56,5432,2,5,2
1236,0.0,0,4.0,15,643,1,1,0
1237,0.0,0,4.0,33,2534,3,3,0
1238,0.0,0,4.0,17,701,1,2,0
1239,0.0,0,4.0,32,3203,1,3,0
1240,1882.12,1,3.3333333333333335,16,4008,1,3,1
1241,3617.15,2,4.166666666666667,84,5124,0,6,2
1242,0.0,0,4.0,29,2259,1,2,0
1243,3898.5,1,4.0,36,1304,2,3,1
1244,3078.65,2,4.0,53,6282,2,5,2
1245,0.0,0,4.0,22,2434,1,2,0
1246,0.0,0,4.0,11,808,0,1,0
1247,0.0,0,4.0,1,573,1,1,0
1248,0.0,0,4.0,42,2494,1,2,0
1250,0.0,0,4.0,35,672,1,2,0
1251,0.0,0,4.0,41,1297,0,2,0
1252,7790.94,2,3.3333333333333335,35,2952,0,3,1
1253,2191.33,1,4.0,43,2924,1,3,1
1254,0.0,0,4.0,5,306,0,1,0
1255,0.0,0,4.0,20,288,0,1,0
1256,0.0,0,4.0,1,1562,0,1,0
1257,0.0,0,4.0,13,1833,0,2,0
1258,0.0,0,4.0,15,1623,1,1,0
1259,0.0,0,4.0,36,2098,1,2,0
1260,0.0,0,4.0,34,2724,2,2,0
1261,0.0,0,4.0,53,2485,2,3,0
1262,797.16,1,3.6666666666666665,24,2901,2,3,0
1263,0.0,0,4.0,59,3201,3,4,2
1264,1712.22,1,4.333333333333333,46,3367,1,3,1
1266,0.0,0,4.0,38,3493,2,3,0
1267,0.0,0,4.0,53,2894,2,4,0
1268,1455.21,1,4.0,31,1871,1,3,1
1269,1787.02,1,4.25,75,2603,2,4,2
1270,3845.93,2,4.25,62,2914,1,4,1
1271,1130.35,1,3.625,96,9122,4,8,2
1273,0.0,0,4.0,6,697,0,1,0
1274,2065.7,1,3.3333333333333335,62,3158,1,3,1
1275,7788.92,2,3.5,58,4084,1,4,1
1277,414.36,1,4.0,43,3975,2,4,2
1278,4367.72,2,3.5,46,2327,2,4,1
1279,3180.17,1,4.0,78,3854,2,6,2
1280,0.0,0,4.0,19,1319,1,2,0
1281,0.0,0,4.0,47,2638,1,3,0
1282,281.46,1,3.5,46,2692,1,2,1
1283,3166.32,1,3.5,16,2227,1,2,1
1284,6649.04,1,3.25,17,5280,1,4,1
1285,2942.34,1,4.0,53,4821,0,3,1
1286,0.0,0,4.0,21,311,0,1,0
1287,0.0,0,4.0,26,2449,2,3,0
1288,0.0,0,4.0,43,2458,0,2,0
1289,0.0,0,4.0,18,1109,0,2,0
1290,1015.65,2,4.5,37,4470,1,4,2
1291,2457.68,1,3.5,18,2615,1,2,1
1292,3075.91,2,3.0,21,1579,0,2,1
1293,0.0,0,4.0,27,1213,0,2,0
1294,0.0,0,4.0,14,443,0,1,0
1295,267.34,1,4.0,50,5725,1,4,2
1296,0.0,0,4.0,20,1305,0,1,0
1297,0.0,0,4.0,33,1933,2,2,0
1298,285.16,1,4.0,9,918,0,1,1
1299,0.0,0,4.0,46,3190,2,3,0
1300,0.0,0,4.0,43,4383,2,4,2
1301,0.0,0,4.0,32,1679,2,2,0
1302,821.62,1,3.0,33,1036,1,2,1
1303,989.88,1,5.0,5,1726,0,1,1
1304,529.27,1,4.0,18,3367,1,2,1
1305,0.0,0,4.0,25,2452,1,2,0
1306,0.0,0,4.0,27,2069,2,3,0
1307,553.52,1,4.5,27,1553,1,2,0
1308,566.61,1,3.5,46,3951,2,4,2
1309,0.0,0,4.0,38,2090,1,2,0
1310,0.0,0,4.0,70,10213,3,7,2
1311,0.0,0,4.0,20,778,0,1,0
1312,6037.98,2,3.6666666666666665,25,1996,0,3,1
1313,0.0,0,4.0,31,1934,1,2,0
1314,0.0,0,4.0,9,218,1,1,0
1315,1937.57,1,4.25,32,4202,1,4,2
1316,9432.31,5,4.142857142857143,61,5995,2,7,2
1317,8119.4400000000005,4,3.5,32,3279,1,6,1
1318,1692.53,2,4.0,92,4610,1,5,2
1319,3602.98,2,4.5,41,4770,1,4,1
1320,0.0,0,4.0,6,1029,0,1,0
1322,2239.44,2,4.4,81,3304,2,5,2
1323,3132.29,1,3.6666666666666665,41,2389,0,3,1
1324,3519.68,1,3.5,46,4277,1,4,1
1325,0.0,0,4.0,82,6288,5,7,2
1326,0.0,0,4.0,16,2605,1,2,0
1327,4069.45,2,3.0,31,3269,1,3,1
1328,0.0,0,4.0,57,4048,2,4,2
1329,443.01,1,4.25,39,3578,2,4,2
1330,0.0,0,4.0,34,1610,1,2,0
1331,4930.51,1,3.3333333333333335,36,1302,2,3,1
1332,3016.32,1,4.25,56,3490,3,4,2
1333,0.0,0,4.0,18,1202,1,1,0
1334,12203.21,5,3.75,134,6352,1,8,2
1335,3522.92,3,4.0,26,6199,0,6,1
1336,3797.19,1,4.0,38,2697,2,3,1
1337,783.06,1,3.5,34,1337,1,2,1
1338,0.0,0,4.0,16,1561,1,2,0
1339,530.31,1,4.0,66,5397,2,5,2
1340,0.0,0,4.0,17,1255,1,1,0
1341,0.0,0,4.0,7,102,0,1,0
1342,0.0,0,4.0,16,1622,0,2,0
1343,3053.36,1,3.8333333333333335,48,4799,3,6,2
1344,0.0,0,4.0,50,3031,2,3,0
1345,256.67,1,3.75,25,2281,2,4,0
1346,0.0,0,4.0,45,3429,1,4,0
1347,3357.67,1,4.333333333333333,7,3043,1,3,1
1348,4789.77,1,3.75,66,4332,2,4,2
1349,307.29,1,4.25,46,3500,1,4,2
1350,1480.29,3,4.333333333333333,57,4638,2,6,2
1351,4652.64,1,3.5,24,1074,0,2,1
1352,1316.79,2,3.8,65,4241,1,5,2
1353,0.0,0,4.0,38,3983,1,3,0
1354,0.0,0,4.0,18,989,1,1,0
1355,0.0,0,4.0,30,2861,3,3,0
1356,2397.1,1,4.5,26,1976,0,2,1
1357,1199.55,1,2.0,23,692,0,1,1
1358,0.0,0,4.0,1,588,1,1,0
1359,0.0,0,4.0,24,2035,2,2,0
1360,3696.46,3,3.6666666666666665,22,2711,0,3,1
1361,4596.29,3,3.3333333333333335,35,3959,0,3,1
1362,3356.54,1,4.0,48,3443,1,3,1
1363,181.93,2,4.25,65,3235,2,4,2
1364,0.0,0,4.0,30,2934,1,2,0
1365,3247.63,2,4.5,59,2546,1,4,1
1366,4299.17,1,4.0,80,6191,2,6,2
1367,0.0,0,4.0,48,1218,1,2,0
1368,4747.9400000000005,2,4.25,52,3328,2,4,2
1369,0.0,0,4.0,16,470,1,1,0
1370,1920.92,1,3.5,21,1176,0,2,1
1371,0.0,0,4.0,18,421,0,2,0
1372,7627.08,2,3.6666666666666665,22,3302,0,3,1
1374,0.0,0,4.0,37,836,2,3,0
1375,0.0,0,4.0,13,1021,0,1,0
1376,0.0,0,4.0,9,1389,0,2,0
1377,0.0,0,4.0,9,1043,0,1,0
1378,2604.1,3,4.0,46,2845,0,3,1
1379,863.94,1,4.0,17,1243,0,1,1
1380,700.35,1,3.5,24,2475,0,2,1
1381,566.3,1,3.6666666666666665,33,2982,1,3,0
1382,4061.77,2,4.333333333333333,52,2978,0,3,1
1383,0.0,0,4.0,5,1319,1,1,0
1384,0.0,0,4.0,26,3589,3,3,0
1385,3694.52,1,5.0,8,1246,0,1,1
1386,3064.78,2,4.333333333333333,17,2739,1,3,1
1387,1111.73,2,3.3333333333333335,34,4082,1,3,1
1388,3964.28,1,4.0,118,4073,2,7,2
1389,0.0,0,4.0,39,2793,2,2,0
1390,0.0,0,4.0,45,4815,1,4,2
1391,0.0,0,4.0,76,4678,2,4,2
1393,0.0,0,4.0,10,2270,1,2,0
1394,0.0,0,4.0,35,2464,2,3,0
1395,2703.44,2,4.285714285714286,77,7787,1,7,2
1396,0.0,0,4.0,7,1685,1,1,0
1397,2856.24,1,3.8,69,6239,2,5,2
1398,663.37,1,3.75,39,3675,2,4,2
1399,0.0,0,4.0,30,295,2,2,0
1400,527.51,1,3.0,33,1717,0,2,1
1401,0.0,0,4.0,38,3141,1,3,0
1402,0.0,0,4.0,33,4123,1,3,0
1403,2038.8500000000001,2,4.166666666666667,50,6663,1,6,2
1404,1646.99,2,4.166666666666667,71,4272,1,6,2
1405,1296.62,1,4.0,32,1497,1,3,1
1406,0.0,0,4.0,49,1131,1,3,0
1407,0.0,0,4.0,5,1008,0,1,0
1408,0.0,0,4.0,10,1337,1,2,0
1409,0.0,0,4.0,34,2312,1,2,0
1410,162.49,1,3.6,51,4627,1,5,2
1411,0.0,0,4.0,27,2460,1,2,0
1412,698.61,1,3.6666666666666665,36,3505,1,3,1
1413,0.0,0,4.0,16,3731,3,3,0
1414,0.0,0,4.0,22,2222,2,2,0
1416,0.0,0,4.0,48,4522,2,5,2
1417,0.0,0,4.0,74,3361,2,5,2
1418,829.86,1,4.5,44,2567,1,2,1
1419,5203.04,2,3.5,58,4984,1,6,2
1420,4219.62,1,4.0,45,3591,0,3,1
1421,0.0,0,4.0,16,279,1,2,0
1422,2685.78,1,4.5,14,2830,0,2,1
1423,1066.1,1,2.5,19,1901,0,2,1
1424,513.7,1,3.0,39,2816,1,2,1
1425,518.32,1,4.0,68,4450,2,4,2
1426,0.0,0,4.0,79,4612,5,6,2
1427,2279.68,1,3.5,79,3215,2,4,2
1429,0.0,0,4.0,37,1890,2,2,0
1430,3753.0,1,3.0,31,944,0,2,1
1431,0.0,0,4.0,1,1538,1,1,0
1432,0.0,0,4.0,34,2676,1,2,0
1433,8307.94,2,2.5,19,1040,0,2,1
1434,2580.84,1,3.6666666666666665,34,2062,0,3,1
1435,0.0,0,4.0,4,1393,1,1,0
1436,3005.46,1,4.0,28,1049,1,2,1
1437,1919.23,2,3.8,89,4264,2,5,2
1438,313.88,1,4.0,41,3958,1,3,2
1439,0.0,0,4.0,29,1516,1,2,0
1440,5960.25,1,4.25,47,4004,0,4,1
1441,503.92,1,4.0,36,3026,1,3,0
1442,0.0,0,4.0,41,1517,3,4,0
1443,0.0,0,4.0,43,2700,3,3,0
1445,2774.91,2,3.75,77,4875,2,4,2
1446,0.0,0,4.0,40,3581,1,3,0
1447,2317.7200000000003,2,4.2,84,2767,1,5,2
1448,0.0,0,4.0,25,2590,2,3,0
1450,2384.76,1,4.333333333333333,32,1861,1,3,1
1451,471.13,1,4.0,23,2575,1,2,0
1452,0.0,0,4.0,6,523,0,1,0
1453,0.0,0,4.0,47,4304,1,4,0
1454,2611.03,1,3.8333333333333335,86,4752,2,6,2
1455,254.85,1,3.3333333333333335,27,3554,1,3,0
1456,2899.21,2,4.5,32,3023,0,2,1
1457,0.0,0,4.0,26,1495,2,3,0
1458,2026.27,2,4.2,39,3897,1,5,2
1459,0.0,0,4.0,24,1594,0,1,0
1460,0.0,0,4.0,17,1420,0,1,0
1461,579.51,1,3.0,10,988,0,1,1
1462,1191.03,2,4.0,32,3918,0,3,1
1463,4949.6,1,4.333333333333333,34,3392,2,3,1
1464,1238.58,2,3.8,62,6713,2,5,2
1465,0.0,0,4.0,56,4518,5,6,2
1466,1417.23,1,4.0,38,652,1,2,1
1467,1121.45,2,4.2,80,5131,2,5,2
1468,0.0,0,4.0,51,2505,2,3,0
1469,0.0,0,4.0,25,584,1,2,0
1470,0.0,0,4.0,36,2717,3,4,0
1471,1161.18,1,4.333333333333333,45,3432,1,3,2
1472,220.52,1,3.3333333333333335,51,3700,0,3,1
1473,1213.67,1,4.0,16,2579,1,3,1
1474,0.0,0,4.0,36,1055,1,2,0
1475,0.0,0,4.0,16,471,1,1,0
1477,2809.28,1,3.6666666666666665,32,3317,1,3,1
1478,656.62,1,4.0,40,3038,0,3,1
1479,2925.48,1,4.0,59,4201,2,5,2
1480,0.0,0,4.0,36,1756,2,3,0
1482,0.0,0,4.0,3,784,1,1,0
1483,4226.91,2,4.0,33,1773,0,2,1
1484,4044.9100000000003,2,3.5,89,4227,4,6,2
1485,0.0,0,4.0,22,1038,1,2,0
1486,2089.06,1,4.5,30,1336,0,2,1
1487,5778.76,1,4.333333333333333,48,2883,0,3,1
1488,0.0,0,4.0,23,766,2,2,0
1489,730.27,2,4.0,48,4373,0,5,2
1490,1211.39,1,4.0,75,2024,2,4,2
1491,0.0,0,4.0,26,1474,2,2,0
1492,2307.7699999999995,2,3.8333333333333335,53,7026,2,6,2
1493,416.59,1,3.0,3,419,0,1,1
1494,0.0,0,4.0,29,2793,2,3,0
1495,0.0,0,4.0,26,1767,1,2,0
1496,2929.2999999999997,2,4.2,53,3018,1,5,2
1497,5020.5,1,4.5,14,3460,0,2,1
1498,5302.37,1,3.75,51,1808,0,4,1
1499,131.96,1,4.0,92,4707,4,5,2
1500,0.0,0,4.0,37,3124,1,2,0
1501,6016.54,1,5.0,10,127,0,1,1
1502,0.0,0,4.0,19,972,1,1,0
1503,4151.74,1,3.75,51,4592,3,4,2
1505,574.4,1,4.0,57,3536,3,4,2
1506,11867.1,4,3.2,49,5593,0,5,1
1507,0.0,0,4.0,13,965,0,1,0
1508,0.0,0,4.0,4,1451,1,1,0
1509,963.2,1,4.0,26,2437,1,2,1
1510,4993.48,1,4.0,44,4266,1,3,1
1511,0.0,0,4.0,21,2068,0,2,0
1512,0.0,0,4.0,10,1528,0,2,0
1513,165.17,1,3.75,41,3735,1,4,2
1514,0.0,0,4.0,26,1851,2,2,0
1515,1602.91,3,4.0,84,6553,0,5,2
1516,0.0,0,4.0,24,1979,0,2,0
1517,2029.92,1,4.0,47,3051,3,4,2
1518,6890.76,3,4.0,38,6025,1,4,1
1519,0.0,0,4.0,10,1582,2,2,0
1520,0.0,0,4.0,23,514,0,1,0
1521,334.46,1,4.0,19,2421,1,3,0
1522,0.0,0,4.0,41,3160,4,4,2
1523,5576.1,1,4.0,28,2961,1,3,1
1524,972.99,1,4.0,51,3640,1,5,2
1525,0.0,0,4.0,15,54,1,1,0
1526,0.0,0,4.0,33,2536,0,4,0
1527,476.82,1,4.0,10,294,0,1,1
1528,0.0,0,4.0,28,582,1,2,0
1529,4588.91,2,4.0,29,3953,1,3,1
1530,1126.92,2,4.5,15,1821,0,2,1
1531,2598.35,1,3.0,21,1152,0,1,1
1532,3212.5,1,4.0,49,4464,2,5,2
1533,1858.18,1,4.0,8,989,0,1,1
1534,0.0,0,4.0,54,1849,2,4,0
1535,0.0,0,4.0,57,4819,3,4,2
1536,0.0,0,4.0,11,504,1,1,0
1537,0.0,0,4.0,25,2589,1,2,0
1538,1661.69,1,4.0,86,3812,1,5,2
1539,4421.79,2,3.25,66,2930,0,4,1
1541,0.0,0,4.0,18,1405,1,1,0
1542,0.0,0,4.0,38,2505,1,2,0
1543,4321.89,1,4.25,44,2852,3,4,2
1544,0.0,0,4.0,58,2808,2,4,0
1545,1395.81,2,4.142857142857143,116,3990,2,7,2
1546,0.0,0,4.0,19,146,0,1,0
1547,0.0,0,4.0,53,2613,2,3,0
1548,2348.55,1,5.0,3,165,0,1,1
1550,7921.13,2,4.0,69,3647,2,5,2
1551,641.61,1,3.75,54,1863,3,4,2
1552,0.0,0,4.0,23,437,1,1,0
1553,0.0,0,4.0,21,1699,1,2,0
1554,0.0,0,4.0,58,3404,1,3,0
1555,2601.76,1,4.333333333333333,42,1734,0,3,1
1556,0.0,0,4.0,66,1916,2,4,0
1557,1890.24,1,2.5,34,1466,1,2,1
1558,0.0,0,4.0,28,2706,1,2,0
1559,0.0,0,4.0,15,1440,1,1,0
1560,1852.44,1,4.5,21,2283,1,2,1
1561,0.0,0,4.0,10,2078,1,2,0
1562,0.0,0,4.0,38,3366,2,3,0
1563,0.0,0,4.0,47,2355,2,3,0
1564,1536.96,1,4.0,68,4321,1,5,2
1565,0.0,0,4.0,4,1566,1,1,0
1566,589.15,1,4.333333333333333,21,2393,2,3,0
1567,0.0,0,4.0,14,929,0,1,0
1568,0.0,0,4.0,18,442,1,1,0
1569,2879.92,1,4.2,71,4829,3,5,2
1570,3623.82,1,4.333333333333333,31,3003,0,3,1
1571,2562.31,1,3.5,34,2097,0,2,1
1572,0.0,0,4.0,22,1826,1,2,0
1573,0.0,0,4.0,33,2886,2,3,0
1574,0.0,0,4.0,28,1813,0,2,0
1575,0.0,0,4.0,37,5310,0,4,0
1576,0.0,0,4.0,22,1426,0,1,0
1577,1887.37,1,4.0,63,3959,2,4,2
1578,0.0,0,4.0,4,74,0,1,0
1579,0.0,0,4.0,57,3735,4,4,2
1580,0.0,0,4.0,17,1461,1,1,0
1581,956.08,1,3.5,23,2106,1,2,1
1582,0.0,0,4.0,17,2986,3,4,0
1583,0.0,0,4.0,50,3824,0,3,0
1584,0.0,0,4.0,23,1718,1,2,0
1585,4847.17,1,4.333333333333333,48,3536,1,3,1
